,d,a,n,tol,integral,loss,time,rank
123,2.0,15.0,11.0,1e-07,1.496751524746331,0.496751524746331,0.007969856262207031,11.0
124,2.0,1.0,11.0,1e-07,0.47789571561730637,0.5221042843826936,0.0053293704986572266,11.0
125,2.0,1.0,11.0,0.001,0.47789571561730637,0.5221042843826936,0.004885196685791016,11.0
126,2.0,1.0,11.0,1e-05,0.47789571561730637,0.5221042843826936,0.004818439483642578,11.0
127,2.0,1.0,21.0,1e-07,0.4500792537260631,0.5499207462739368,0.006086826324462891,15.0
128,2.0,1.0,21.0,0.001,0.4500792537260631,0.5499207462739368,0.005838632583618164,15.0
129,2.0,1.0,21.0,1e-05,0.4500792537260631,0.5499207462739368,0.005707740783691406,15.0
130,2.0,1.0,51.0,1e-07,0.4333559516022841,0.566644048397716,0.015631675720214844,14.0
131,2.0,1.0,51.0,1e-05,0.43335595160228396,0.566644048397716,0.014744758605957031,14.0
132,2.0,1.0,51.0,0.001,0.43335595158761975,0.5666440484123803,0.006010532379150391,10.0
133,2.0,1.0,71.0,1e-05,0.43016958957468066,0.5698304104253193,0.027782917022705078,14.0
134,2.0,1.0,71.0,1e-07,0.4301695895746806,0.5698304104253193,0.020862102508544922,14.0
135,2.0,1.0,71.0,0.001,0.4301695895689514,0.5698304104310485,0.011540651321411133,10.0
136,3.0,1.0,5.0,1e-07,0.3923904346157085,0.6076095653842915,0.010838747024536133,7.0
137,3.0,1.0,5.0,0.001,0.3923904346157085,0.6076095653842915,0.010765314102172852,7.0
138,3.0,1.0,5.0,1e-05,0.3923904346157085,0.6076095653842915,0.010380029678344727,7.0
139,3.0,1.0,11.0,1e-07,0.31148888520106316,0.6885111147989369,0.04895329475402832,13.0
140,3.0,1.0,11.0,1e-05,0.31148888520106316,0.6885111147989369,0.019277095794677734,13.0
141,3.0,1.0,11.0,0.001,0.31148888520106316,0.6885111147989369,0.02201247215270996,13.0
142,3.0,1.0,21.0,1e-05,0.2855134792327178,0.7144865207672821,0.36676764488220215,15.0
143,3.0,1.0,21.0,1e-07,0.28551347923271764,0.7144865207672824,0.3835620880126953,15.0
144,3.0,1.0,21.0,0.001,0.2855134792293478,0.7144865207706522,0.021524429321289062,10.0
145,3.0,1.0,51.0,1e-05,0.2702430953321551,0.7297569046678449,2.5849597454071045,16.0
146,3.0,1.0,51.0,0.001,0.27024309533215507,0.7297569046678449,2.495380163192749,16.0
147,3.0,1.0,51.0,1e-07,0.2702430953321551,0.7297569046678449,2.956833839416504,16.0
148,3.0,1.0,71.0,1e-07,0.2673635557743705,0.7326364442256295,5.777374744415283,16.0
149,3.0,1.0,71.0,0.001,0.2673635557743705,0.7326364442256295,9.130801916122437,14.0
150,3.0,1.0,71.0,1e-05,0.26736355577437043,0.7326364442256296,5.381983757019043,16.0
151,1.0,10.0,5.0,0.001,1.9947262692023109,0.9947262692023109,0.0015926361083984375,1.0
152,1.0,10.0,5.0,1e-07,1.9947262692023109,0.9947262692023109,0.0016133785247802734,1.0
153,1.0,10.0,5.0,1e-05,1.9947262692023109,0.9947262692023109,0.0016629695892333984,1.0
154,1.0,30.0,11.0,0.001,2.3936537553191903,1.3936537553191903,0.001596212387084961,1.0
155,1.0,30.0,11.0,1e-05,2.3936537553191903,1.3936537553191903,0.0017180442810058594,1.0
156,1.0,30.0,11.0,1e-07,2.3936537553191903,1.3936537553191903,0.0016677379608154297,1.0
157,1.0,15.0,5.0,1e-05,2.9920671030143966,1.9920671030143966,0.001630544662475586,1.0
158,1.0,15.0,5.0,1e-07,2.9920671030143966,1.9920671030143966,0.0016703605651855469,1.0
159,1.0,15.0,5.0,0.001,2.9920671030143966,1.9920671030143966,0.0015568733215332031,1.0
160,2.0,10.0,5.0,1e-07,3.97893288904577,2.97893288904577,0.004675626754760742,5.0
161,2.0,10.0,5.0,0.001,3.97893288904577,2.97893288904577,0.0044744014739990234,5.0
162,2.0,10.0,5.0,1e-05,3.97893288904577,2.97893288904577,0.005007743835449219,5.0
163,2.0,30.0,11.0,1e-05,5.729578300353661,4.729578300353661,0.003450155258178711,10.0
164,2.0,30.0,11.0,0.001,5.729578300353661,4.729578300353661,0.0033822059631347656,10.0
165,2.0,30.0,11.0,1e-07,5.729578300353661,4.729578300353661,0.004680633544921875,11.0
166,1.0,30.0,5.0,1e-07,5.984134206021491,4.984134206021491,0.0017476081848144531,1.0
167,1.0,30.0,5.0,0.001,5.984134206021491,4.984134206021491,0.0015854835510253906,1.0
168,1.0,30.0,5.0,1e-05,5.984134206021491,4.984134206021491,0.0016372203826904297,1.0
169,2.0,15.0,5.0,0.001,8.952465548940964,7.952465548940964,0.004972219467163086,5.0
170,2.0,15.0,5.0,1e-07,8.952465548940964,7.952465548940964,0.004899740219116211,5.0
171,2.0,15.0,5.0,1e-05,8.952465548940964,7.952465548940964,0.005457162857055664,5.0
172,2.0,30.0,5.0,0.001,35.80986219567645,34.80986219567645,0.0047528743743896484,5.0
173,2.0,30.0,5.0,1e-07,35.80986219567645,34.80986219567645,0.0028977394104003906,5.0
174,2.0,30.0,5.0,1e-05,35.80986219567645,34.80986219567645,0.003472566604614258,5.0
